id,name,band,universe,album,garments,collections,campaigns,commercialPriority,visibilityTier,legacyCategory,tags
"6030","Vic Arrested","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Vic Legacy; Últimos Lanzamientos 2026; Megadeth Archive; Vic Rattlehead","-","45","archive","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Vic Rattlehead"
"6029","Vic Doctor","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Vic Legacy; Últimos Lanzamientos 2026; Megadeth Archive; Vic Rattlehead","-","45","archive","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Vic Rattlehead"
"6027","Peace Sells FMD Edition","Megadeth","Megadeth Vault; Thrash Metal; FMD Editions","Peace Sells... but Who's Buying?","remera","Peace Sells Legacy; Últimos Lanzamientos 2026; Megadeth Archive; Megadeth Albums; Peace Sells... but Who's Buying?; FMD Editions","-","66","catalog","Album","Megadeth; Megadeth Vault; Thrash Metal; FMD Editions; Peace Sells... but Who's Buying?; remera; Megadeth Archive; Megadeth Albums"
"6026","Killing Is my Bussines FMD Edition","Megadeth","Megadeth Vault; Thrash Metal; FMD Editions","Killing Is My Business... and Business Is Good!","remera","KIMB Legacy; Últimos Lanzamientos 2026; Megadeth Archive; Megadeth Albums; Killing Is My Business... and Business Is Good!; FMD Editions","-","66","catalog","Album","Megadeth; Megadeth Vault; Thrash Metal; FMD Editions; Killing Is My Business... and Business Is Good!; remera; Megadeth Archive; Megadeth Albums"
"3","So Far, So Good","Megadeth","Megadeth Vault; Thrash Metal","So Far, So Good... So What!","remera","Megadeth Archive; Megadeth Albums; So Far, So Good... So What!","-","66","catalog","Album","Megadeth; Megadeth Vault; Thrash Metal; So Far, So Good... So What!; remera; Megadeth Archive; Megadeth Albums"
"5","Countdown to Extinction","Megadeth","Megadeth Vault; Thrash Metal","Countdown to Extinction","remera","Megadeth Archive; Megadeth Albums; Countdown to Extinction","-","66","catalog","Album","Megadeth; Megadeth Vault; Thrash Metal; Countdown to Extinction; remera; Megadeth Archive; Megadeth Albums"
"6","Youthanasia","Megadeth","Megadeth Vault; Thrash Metal","Youthanasia","remera","Megadeth Archive; Megadeth Albums; Youthanasia","-","66","catalog","Album","Megadeth; Megadeth Vault; Thrash Metal; Youthanasia; remera; Megadeth Archive; Megadeth Albums"
"18","Hidden Treasures","Megadeth","Megadeth Vault; Thrash Metal; FMD Editions","Hidden Treasures","remera","Megadeth Archive; Megadeth Albums; Hidden Treasures; FMD Editions","-","66","catalog","Album","Megadeth; Megadeth Vault; Thrash Metal; FMD Editions; Hidden Treasures; remera; Megadeth Archive; Megadeth Albums"
"8","Cryptic Writings","Megadeth","Megadeth Vault; Thrash Metal","Cryptic Writings","remera","Megadeth Archive; Megadeth Albums; Cryptic Writings","-","66","catalog","Album","Megadeth; Megadeth Vault; Thrash Metal; Cryptic Writings; remera; Megadeth Archive; Megadeth Albums"
"9","Risk","Megadeth","Megadeth Vault; Thrash Metal","Risk","remera","Megadeth Archive; Megadeth Albums; Risk","-","66","catalog","Album","Megadeth; Megadeth Vault; Thrash Metal; Risk; remera; Megadeth Archive; Megadeth Albums"
"10","The World Needs a Hero","Megadeth","Megadeth Vault; Thrash Metal","The World Needs a Hero","remera","Megadeth Archive; Megadeth Albums; The World Needs a Hero","-","66","catalog","Album","Megadeth; Megadeth Vault; Thrash Metal; The World Needs a Hero; remera; Megadeth Archive; Megadeth Albums"
"11","The System Has Failed","Megadeth","Megadeth Vault; Thrash Metal","The System Has Failed","remera","Megadeth Archive; Megadeth Albums; The System Has Failed","-","66","catalog","Album","Megadeth; Megadeth Vault; Thrash Metal; The System Has Failed; remera; Megadeth Archive; Megadeth Albums"
"12","United Abominations","Megadeth","Megadeth Vault; Thrash Metal","United Abominations","remera","Megadeth Archive; Megadeth Albums; United Abominations","-","66","catalog","Album","Megadeth; Megadeth Vault; Thrash Metal; United Abominations; remera; Megadeth Archive; Megadeth Albums"
"13","Endgame","Megadeth","Megadeth Vault; Thrash Metal","Endgame","remera","Megadeth Archive; Megadeth Albums; Endgame","-","66","catalog","Album","Megadeth; Megadeth Vault; Thrash Metal; Endgame; remera; Megadeth Archive; Megadeth Albums"
"14","TH1RT3EN","Megadeth","Megadeth Vault; Thrash Metal","TH1RT3EN","remera","Megadeth Archive; Megadeth Albums; TH1RT3EN","-","66","catalog","Album","Megadeth; Megadeth Vault; Thrash Metal; TH1RT3EN; remera; Megadeth Archive; Megadeth Albums"
"15","Super Collider","Megadeth","Megadeth Vault; Thrash Metal","Super Collider","remera","Megadeth Archive; Megadeth Albums; Super Collider","-","66","catalog","Album","Megadeth; Megadeth Vault; Thrash Metal; Super Collider; remera; Megadeth Archive; Megadeth Albums"
"7","Dystopia","Megadeth","Megadeth Vault; Thrash Metal","Dystopia","remera","Megadeth Archive; Megadeth Albums; Dystopia","-","66","catalog","Album","Megadeth; Megadeth Vault; Thrash Metal; Dystopia; remera; Megadeth Archive; Megadeth Albums"
"16","The Sick, the Dying...And the Dead!","Megadeth","Megadeth Vault; Thrash Metal","The Sick, the Dying... and the Dead!","remera","Megadeth Archive; Megadeth Albums; The Sick, the Dying... and the Dead!","-","66","catalog","Album","Megadeth; Megadeth Vault; Thrash Metal; The Sick, the Dying... and the Dead!; remera; Megadeth Archive; Megadeth Albums"
"17","Megadeth 2026","Megadeth","Megadeth Vault; Thrash Metal","Megadeth (2026)","remera","Megadeth Archive; Megadeth Albums; Megadeth (2026)","-","66","catalog","Album","Megadeth; Megadeth Vault; Thrash Metal; Megadeth (2026); remera; Megadeth Archive; Megadeth Albums"
"235","Vic Nuclear","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Megadeth Archive; Megadeth Singles","-","58","archive","Singles","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Megadeth Singles"
"236","Rusted Pieces","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Megadeth Archive; Megadeth Singles","-","58","catalog","Singles","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Megadeth Singles"
"246","Singles Ultimo Disco","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Megadeth Archive; Megadeth Singles","-","58","catalog","Singles","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Megadeth Singles"
